2021/12/24 17:25:29.227  # of PCs: 15/# of Routers:10
2021/12/24 17:25:29.231  Time,Protocol,TranID, fromID, toID, minBW(Mbps), reqDuration(ms), reqHops, req_avg_receive_buffersize, req_max_receive_buffersize, req_avg_queue_size, req_max_queue_size, reqSize(byte), resDuraiton(ms), resHop, res_avg_receive_buffersize, res_max_receive_buffersize, res_avg_queue_size, res_max_queue_size, resSize(byte), result(Hit/TTL/Drop)
2021/12/24 17:27:34.859  ,HTTP_GET,p9-1640334393107,p9,r2,10,1640334454937,2,0.0,0,0.0,0,2000,88,2,13.641,56, 0.4872,1, 92160,Hit
2021/12/24 17:27:35.718  ,HTTP_GET,p8-1640334394109,p8,r2,10,1640334455830,2,0.0,0,0.0,0,2000,126,2,19.4061,79, 0.0,0, 131072,Hit
2021/12/24 17:27:35.785  ,HTTP_GET,p2-1640334394171,p2,r2,100,61624,2,332916.6,832292,5.6,14,2000,20,2,12.1429,50, 0.0,0, 81920,Hit
2021/12/24 17:27:38.650  ,HTTP_GET,p3-1640334395186,p3,r2,100,62976,2,338575.8,836252,5.6,14,2000,20,2,10.6526,44, 0.0,0, 74752,Hit
2021/12/24 17:27:41.002  ,HTTP_POST,p6-1640334371931,p6,r2,10,13777,3,0.0,0,0.0,0,8388608,1640334474779,3,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:27:46.293  ,HTTP_POST,p3-1640334400206,p3,r2,100,1640334472612,2,0.0,0,0.0,0,7340032,1640334472612,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:27:50.112  ,HTTP_GET,p10-1640334402131,p10,r2,10,67965,2,365507.6,912230,6.4,15,2000,115,2,18.6369,76, 0.4904,1, 123904,Hit
2021/12/24 17:27:52.750  ,HTTP_POST,p2-1640334403418,p2,r2,100,78349,2,469136.6309,939288,7.9994,16,10485760,1640334481772,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:27:54.280  ,HTTP_POST,p8-1640334404480,p8,r2,10,1640334480601,2,0.0,0,0.0,0,7340032,1640334480601,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:27:55.467  ,HTTP_POST,p6-1640334374964,p6,r2,10,12057,3,0.0,0,0.0,0,7340032,1640334487524,3,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:27:59.633  ,HTTP_POST,p6-1640334376967,p6,r2,10,12057,3,0.0,0,0.0,0,7340032,1640334491690,3,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:28:00.705  ,HTTP_GET,p14-1640334357812,p14,r2,10,240,4,0.0,0,0.0,0,2000,252,3,0.0,0, 0.0,0, 99328,Hit
2021/12/24 17:28:01.638  ,HTTP_GET,p5-1640334406564,p5,r2,100,74540,2,401080.4,991571,7.2,18,2000,14,2,5.9091,25, 0.0,0, 43008,Hit
2021/12/24 17:28:03.725  ,HTTP_GET,p3-1640334378964,p3,r2,10,192,3,177.0,620,5.1429,18,2000,141,3,303870.0,946355, 6.422,20, 56320,Hit
2021/12/24 17:28:04.338  ,HTTP_GET,p11-1640334379993,p11,r2,10,91,3,0.0,0,0.0,0,2000,93,3,0.0,0, 0.6301,2, 36864,Hit
2021/12/24 17:28:05.910  ,HTTP_GET,p7-1640334381013,p7,r2,10,377,3,0.5714,3,5.1429,18,2000,383,3,316704.3054,963087, 6.2483,19, 157696,Hit
2021/12/24 17:28:05.925  ,HTTP_GET,p0-1640334381013,p0,r2,10,249,3,0.0,0,0.0,0,2000,261,3,0.2194,1, 0.0,0, 102400,Hit
2021/12/24 17:28:08.259  ,HTTP_POST,p10-1640334411826,p10,r2,10,1640334516121,2,0.0,0,0.0,0,17825792,1640334516121,2,0.0,0, 0.6667,2, 1024,Hit
2021/12/24 17:28:15.503  ,HTTP_POST,p0-1640334414837,p0,r2,100,90516,2,532212.5835,1064600,8.9994,18,12582912,1640334505353,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:28:17.776  ,HTTP_GET,p1-1640334416841,p1,r2,10,1640334497780,2,0.0,0,0.0,0,2000,24,2,10.8947,45, 0.0,0, 74752,Hit
2021/12/24 17:28:18.328  ,HTTP_POST,p9-1640334416836,p9,r2,10,1640334511444,2,0.0,0,0.0,0,8388608,1640334511444,2,0.0,0, 0.6667,2, 1024,Hit
2021/12/24 17:28:18.333  ,HTTP_POST,p2-1640334416839,p2,r2,100,88713,2,540949.5257,1087440,8.9974,18,8388608,1640334505552,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:28:18.809  ,HTTP_GET,p3-1640334417862,p3,r2,100,1640334498830,2,0.0,0,0.0,0,2000,31,2,19.319,78, 1.4724,3, 129024,Hit
2021/12/24 17:28:21.114  ,HTTP_POST,p0-1640334417859,p0,r2,100,93920,2,551597.2784,1111477,8.9995,18,13631488,1640334511784,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:28:24.590  ,HTTP_POST,p4-1640334418874,p4,r2,10,103751,2,562070.9478,1125794,8.9981,18,11534336,1640334522625,2,0.0,0, 1.3333,4, 1024,Hit
2021/12/24 17:28:25.420  ,HTTP_POST,p11-1640334386073,p11,r2,10,27047,3,0.0,0,0.0,0,11534336,1640334532467,3,0.0,0, 2.0,2, 1024,Hit
2021/12/24 17:28:26.804  ,HTTP_POST,p3-1640334419877,p3,r2,100,95951,2,566701.941,1137193,8.9979,18,10485760,1640334515828,2,0.0,0, 1.3333,4, 1024,Hit
2021/12/24 17:28:28.449  ,HTTP_POST,p11-1640334419983,p11,r2,10,1640334524842,2,0.0,0,0.0,0,10485760,1640334524842,2,0.0,0, 0.6667,2, 1024,Hit
2021/12/24 17:28:29.321  ,HTTP_POST,p1-1640334387024,p1,r2,10,23979,3,179876.3503,546062,9.9912,19,9437184,1640334531454,3,264122.75,1056491, 6.0,23, 1024,Hit
2021/12/24 17:28:29.400  ,HTTP_GET,p8-1640334421825,p8,r2,10,87305,2,463718.0,1154843,7.6,19,2000,78,2,11.6238,47, 0.4851,1, 79872,Hit
2021/12/24 17:28:30.099  ,HTTP_POST,p5-1640334387076,p5,r2,10,27249,3,182449.0856,552719,9.852,19,14680064,1640334534196,3,265008.0,1060032, 6.75,23, 1024,Hit
2021/12/24 17:28:31.918  ,HTTP_GET,p4-1640334423891,p4,r2,10,1640334511939,2,0.0,0,0.0,0,2000,34,2,22.385,91, 1.9679,4, 148480,Hit
